,date,DOHOL,THYAO
465,2020-01-13 15:00:24.730000010,-1.0,-1.0
466,2020-01-13 15:10:25.942000010,-1.0,-1.0
467,2020-01-13 15:22:27.686000020,-1.0,-1.0
468,2020-01-13 15:27:26.177000010,1.0,1.0
469,2020-01-13 16:13:55.253000110,-1.0,0.0
470,2020-01-13 16:13:57.836000060,1.0,1.0
471,2020-01-13 16:43:17.646000010,-1.0,-1.0
472,2020-01-13 16:46:21.507000020,1.0,1.0
473,2020-01-14 10:00:15.647000020,1.0,0.0
474,2020-01-14 10:00:19.303000130,-1.0,-1.0
475,2020-01-14 10:03:21.010000060,-1.0,-1.0
476,2020-01-14 10:08:04.458000040,1.0,1.0
477,2020-01-14 10:32:31.140000030,-1.0,1.0
478,2020-01-14 10:48:37.456000090,-1.0,-1.0
479,2020-01-14 10:49:21.109000040,-1.0,-1.0
480,2020-01-14 10:50:05.462000030,-1.0,0.0
481,2020-01-14 10:50:15.694000060,1.0,-1.0
482,2020-01-14 10:50:26.967000160,-1.0,1.0
483,2020-01-14 10:51:35.125000020,-1.0,-1.0
484,2020-01-14 10:52:16.209000020,1.0,-1.0
485,2020-01-14 10:56:23.354000060,-1.0,1.0
486,2020-01-14 10:58:39.525000020,1.0,0.0
487,2020-01-14 11:00:26.163000040,1.0,-1.0
488,2020-01-14 11:05:19.646000090,-1.0,-1.0
489,2020-01-14 12:00:51.998000050,1.0,1.0
490,2020-01-14 12:15:47.901000010,1.0,1.0
491,2020-01-14 12:52:42.550000110,1.0,1.0
492,2020-01-14 12:53:24.366000080,1.0,-1.0
493,2020-01-14 12:53:45.275000040,-1.0,-1.0
494,2020-01-14 13:05:04.683000010,1.0,-1.0
495,2020-01-14 13:07:42.917000010,-1.0,1.0
496,2020-01-14 13:37:19.315000020,-1.0,-1.0
497,2020-01-14 13:38:34.828000020,1.0,1.0
498,2020-01-14 14:26:36.276000010,-1.0,-1.0
499,2020-01-14 14:26:56.595000020,1.0,1.0
500,2020-01-14 14:36:10.393000020,1.0,0.0
501,2020-01-14 14:36:28.678000020,1.0,1.0
502,2020-01-14 14:38:41.315000020,1.0,0.0
503,2020-01-14 14:38:42.524000050,-1.0,1.0
504,2020-01-14 14:57:57.312000170,-1.0,1.0
505,2020-01-14 15:23:57.990000050,-1.0,1.0
506,2020-01-14 15:43:22.803000010,-1.0,-1.0
507,2020-01-14 15:51:20.385000050,1.0,1.0
508,2020-01-14 17:34:47.841000040,-1.0,1.0
509,2020-01-15 10:00:29.183000080,1.0,1.0
510,2020-01-15 10:00:29.990000210,-1.0,1.0
511,2020-01-15 10:03:24.105000190,1.0,1.0
512,2020-01-15 10:03:48.634000030,1.0,0.0
513,2020-01-15 10:03:49.656000020,-1.0,1.0
514,2020-01-15 10:23:07.974000110,-1.0,-1.0
515,2020-01-15 11:15:17.994000040,-1.0,1.0
516,2020-01-15 11:22:07.796000020,-1.0,0.0
517,2020-01-15 11:22:26.734000020,1.0,1.0
518,2020-01-15 11:31:03.650000040,-1.0,0.0
519,2020-01-15 11:31:03.956000090,1.0,0.0
520,2020-01-15 11:31:11.305000020,-1.0,0.0
521,2020-01-15 11:31:11.716000520,1.0,1.0
522,2020-01-15 11:33:28.066000120,-1.0,-1.0
523,2020-01-15 11:34:18.511000100,1.0,-1.0
524,2020-01-15 11:34:58.092000050,-1.0,-1.0
525,2020-01-15 11:38:29.648000060,-1.0,-1.0
526,2020-01-15 11:38:39.445000100,1.0,-1.0
527,2020-01-15 12:02:25.307000020,1.0,-1.0
528,2020-01-15 12:15:41.053000010,-1.0,0.0
529,2020-01-15 12:15:41.154000010,1.0,-1.0
530,2020-01-15 12:16:47.707000040,-1.0,1.0
531,2020-01-15 12:20:19.683000010,1.0,1.0
532,2020-01-15 12:42:18.928000020,-1.0,1.0
