,date,AKBNK,ARCLK
414,2020-01-02 13:44:40.091000200,-1.0,0.0
415,2020-01-02 13:44:46.739000090,1.0,0.0
416,2020-01-02 13:44:47.545000040,-1.0,0.0
417,2020-01-02 13:44:58.141000040,1.0,0.0
418,2020-01-02 13:44:58.743000140,-1.0,0.0
419,2020-01-02 13:45:07.804000160,1.0,0.0
420,2020-01-02 13:45:09.013000210,-1.0,0.0
421,2020-01-02 13:45:23.735000140,1.0,0.0
422,2020-01-02 13:45:25.147000190,-1.0,0.0
423,2020-01-02 13:45:49.292000080,-1.0,-1.0
424,2020-01-02 13:53:12.368000020,-1.0,0.0
425,2020-01-02 13:53:16.200000000,-1.0,-1.0
426,2020-01-02 14:10:08.284000030,-1.0,0.0
427,2020-01-02 14:10:08.284000070,-1.0,0.0
428,2020-01-02 14:10:08.386000070,1.0,0.0
429,2020-01-02 14:10:08.386000100,1.0,-1.0
430,2020-01-02 14:13:44.767000050,1.0,0.0
431,2020-01-02 14:13:44.970000120,-1.0,0.0
432,2020-01-02 14:13:50.240000120,-1.0,-1.0
433,2020-01-02 14:15:25.794000190,1.0,0.0
434,2020-01-02 14:15:25.895000210,-1.0,0.0
435,2020-01-02 14:16:45.888000020,1.0,0.0
436,2020-01-02 14:16:45.991000240,-1.0,0.0
437,2020-01-02 14:17:39.234000050,1.0,1.0
438,2020-01-02 14:21:48.716000150,1.0,0.0
439,2020-01-02 14:21:48.716000180,1.0,0.0
440,2020-01-02 14:21:58.031000130,-1.0,0.0
441,2020-01-02 14:21:58.031000160,-1.0,0.0
442,2020-01-02 14:22:04.593000300,1.0,0.0
443,2020-01-02 14:22:04.593000330,1.0,1.0
444,2020-01-02 14:23:14.384000050,-1.0,1.0
445,2020-01-02 14:23:34.661000180,1.0,0.0
446,2020-01-02 14:23:42.725000000,-1.0,1.0
447,2020-01-02 14:27:30.170000190,1.0,0.0
448,2020-01-02 14:27:30.170000220,1.0,1.0
449,2020-01-02 14:28:33.992000160,-1.0,0.0
450,2020-01-02 14:28:41.735000080,1.0,0.0
451,2020-01-02 14:28:41.735000110,1.0,1.0
452,2020-01-02 14:28:55.207000020,-1.0,-1.0
453,2020-01-02 14:30:20.462000020,1.0,0.0
454,2020-01-02 14:30:20.462000050,1.0,0.0
455,2020-01-02 14:31:22.036000150,-1.0,1.0
456,2020-01-02 14:33:31.077000110,1.0,-1.0
457,2020-01-02 14:33:46.182000180,-1.0,0.0
458,2020-01-02 14:36:23.656000090,1.0,1.0
459,2020-01-02 14:44:50.100000110,-1.0,1.0
460,2020-01-02 14:45:00.295000150,-1.0,-1.0
461,2020-01-02 14:49:19.422000240,1.0,0.0
462,2020-01-02 14:49:35.335000010,1.0,1.0
463,2020-01-02 14:54:45.835000110,-1.0,0.0
464,2020-01-02 14:54:45.835000140,-1.0,-1.0
465,2020-01-02 15:09:57.559000140,-1.0,0.0
466,2020-01-02 15:09:57.559000170,-1.0,0.0
467,2020-01-02 15:10:25.920000190,1.0,-1.0
468,2020-01-02 15:16:35.222000100,-1.0,0.0
469,2020-01-02 15:16:35.222000130,-1.0,1.0
470,2020-01-02 15:16:54.969000210,1.0,0.0
